freq,psd_x,psd_y,psd_z,psd_xyz,zv(42.0),mzv(40.0),ei(46.2),2hump_ei(57.6),3hump_ei(69.4)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.993,0.990,0.988,0.985,0.984
3.2,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.983,0.974,0.970,0.964,0.961
4.8,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.969,0.954,0.946,0.938,0.932
6.4,9.973e+00,2.587e+02,3.792e+00,2.725e+02,0.952,0.930,0.917,0.906,0.898
8.0,7.451e+00,2.596e+02,3.246e+00,2.703e+02,0.932,0.901,0.884,0.869,0.859
9.5,6.105e+00,2.698e+02,2.747e+00,2.787e+02,0.909,0.868,0.846,0.828,0.816
11.1,5.898e+00,3.688e+02,2.304e+00,3.770e+02,0.883,0.832,0.804,0.783,0.769
12.7,5.625e+00,4.802e+02,2.081e+00,4.879e+02,0.854,0.792,0.759,0.735,0.719
14.3,4.170e+00,5.835e+02,1.848e+00,5.896e+02,0.823,0.750,0.711,0.685,0.667
15.9,3.596e+00,7.012e+02,2.261e+00,7.071e+02,0.789,0.705,0.661,0.632,0.613
17.5,3.746e+00,8.444e+02,2.843e+00,8.510e+02,0.752,0.658,0.608,0.578,0.558
19.1,3.105e+00,9.963e+02,4.403e+00,1.004e+03,0.713,0.609,0.555,0.524,0.503
20.7,2.713e+00,1.193e+03,8.403e+00,1.204e+03,0.672,0.559,0.501,0.470,0.449
22.3,2.506e+00,1.467e+03,1.776e+01,1.487e+03,0.629,0.507,0.447,0.417,0.395
23.9,2.324e+00,1.821e+03,3.905e+01,1.863e+03,0.584,0.456,0.394,0.364,0.344
25.5,2.159e+00,2.255e+03,5.120e+01,2.308e+03,0.538,0.404,0.342,0.314,0.295
27.0,2.001e+00,2.962e+03,8.054e+01,3.044e+03,0.490,0.353,0.291,0.267,0.249
28.6,2.828e+00,4.175e+03,2.264e+02,4.404e+03,0.440,0.303,0.243,0.222,0.206
30.2,5.000e+00,6.034e+03,6.734e+02,6.712e+03,0.390,0.254,0.198,0.180,0.167
31.8,1.122e+01,8.010e+03,1.794e+03,9.815e+03,0.339,0.207,0.156,0.142,0.132
33.4,3.111e+01,1.055e+04,5.411e+03,1.600e+04,0.287,0.162,0.118,0.109,0.102
35.0,6.149e+01,1.465e+04,1.395e+04,2.866e+04,0.235,0.119,0.083,0.080,0.076
36.6,9.633e+01,1.747e+04,2.489e+04,4.246e+04,0.183,0.079,0.054,0.055,0.057
38.2,1.045e+02,1.550e+04,3.252e+04,4.812e+04,0.131,0.049,0.031,0.038,0.044
39.8,1.011e+02,1.190e+04,3.564e+04,4.764e+04,0.090,0.035,0.020,0.028,0.038
41.4,9.423e+01,9.244e+03,3.702e+04,4.636e+04,0.065,0.040,0.024,0.028,0.037
42.9,1.047e+02,8.201e+03,3.609e+04,4.439e+04,0.068,0.056,0.033,0.032,0.038
44.5,2.195e+02,7.277e+03,2.923e+04,3.673e+04,0.097,0.079,0.038,0.036,0.040
46.1,3.829e+02,5.597e+03,1.959e+04,2.557e+04,0.139,0.097,0.040,0.038,0.040
47.7,5.082e+02,4.215e+03,1.513e+04,1.985e+04,0.188,0.112,0.037,0.038,0.038
