freq,psd_x,psd_y,psd_z,psd_xyz,zv(51.2),mzv(51.8),ei(62.0),2hump_ei(77.6),3hump_ei(93.2)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.6,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.995,0.992,0.991,0.990,0.988
3.2,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.987,0.982,0.979,0.976,0.973
4.8,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.977,0.968,0.964,0.959,0.955
6.4,3.013e+02,8.461e+00,3.619e+00,3.134e+02,0.965,0.952,0.946,0.939,0.933
8.0,3.143e+02,7.964e+00,2.899e+00,3.252e+02,0.950,0.933,0.925,0.916,0.908
9.6,3.498e+02,5.574e+00,2.565e+00,3.579e+02,0.934,0.912,0.902,0.890,0.880
11.2,4.099e+02,5.451e+00,2.253e+00,4.176e+02,0.915,0.888,0.876,0.861,0.850
12.7,4.676e+02,4.653e+00,1.910e+00,4.742e+02,0.895,0.862,0.847,0.830,0.818
14.3,5.410e+02,3.702e+00,1.861e+00,5.465e+02,0.872,0.833,0.816,0.798,0.783
15.9,6.206e+02,3.606e+00,1.620e+00,6.259e+02,0.848,0.803,0.784,0.763,0.746
17.5,7.167e+02,3.127e+00,1.451e+00,7.213e+02,0.822,0.771,0.749,0.726,0.708
19.1,7.936e+02,2.726e+00,1.408e+00,7.977e+02,0.794,0.737,0.713,0.689,0.669
20.7,8.798e+02,2.734e+00,1.280e+00,8.838e+02,0.764,0.702,0.676,0.650,0.629
22.3,9.913e+02,2.566e+00,1.304e+00,9.952e+02,0.733,0.666,0.637,0.610,0.588
23.9,1.124e+03,2.200e+00,1.576e+00,1.128e+03,0.700,0.628,0.598,0.570,0.547
25.5,1.266e+03,2.065e+00,2.097e+00,1.270e+03,0.666,0.590,0.558,0.530,0.506
27.1,1.358e+03,1.940e+00,1.778e+00,1.361e+03,0.630,0.551,0.518,0.489,0.466
28.7,1.445e+03,1.792e+00,1.314e+00,1.448e+03,0.594,0.511,0.478,0.449,0.426
30.3,1.604e+03,1.897e+00,1.106e+00,1.607e+03,0.556,0.471,0.437,0.410,0.386
31.9,1.865e+03,2.364e+00,1.040e+00,1.869e+03,0.517,0.432,0.398,0.371,0.348
33.5,2.234e+03,2.421e+00,9.776e-01,2.237e+03,0.477,0.392,0.359,0.333,0.311
35.1,2.680e+03,2.307e+00,1.093e+00,2.683e+03,0.437,0.352,0.320,0.297,0.275
36.7,3.251e+03,2.449e+00,1.557e+00,3.255e+03,0.395,0.313,0.283,0.262,0.242
38.2,4.097e+03,3.024e+00,2.464e+00,4.103e+03,0.353,0.275,0.247,0.228,0.210
39.8,5.145e+03,3.277e+00,5.666e+00,5.154e+03,0.311,0.238,0.213,0.197,0.180
41.4,6.509e+03,3.484e+00,1.127e+01,6.524e+03,0.268,0.202,0.180,0.167,0.152
43.0,8.601e+03,3.126e+00,1.537e+01,8.619e+03,0.225,0.167,0.150,0.140,0.127
44.6,1.089e+04,8.017e+00,2.195e+01,1.092e+04,0.183,0.133,0.121,0.114,0.105
46.2,1.528e+04,1.787e+01,6.718e+01,1.536e+04,0.140,0.101,0.095,0.092,0.085
47.8,2.230e+04,3.498e+01,1.520e+02,2.249e+04,0.103,0.072,0.071,0.072,0.068
49.4,2.930e+04,4.530e+01,1.189e+02,2.947e+04,0.075,0.049,0.050,0.054,0.055
51.0,3.234e+04,4.314e+01,1.071e+02,3.249e+04,0.062,0.037,0.033,0.041,0.045
52.6,2.671e+04,3.623e+01,8.612e+01,2.683e+04,0.071,0.035,0.022,0.032,0.039
54.2,1.861e+04,2.356e+01,6.575e+01,1.870e+04,0.095,0.044,0.020,0.028,0.037
55.8,1.293e+04,1.282e+01,7.311e+01,1.302e+04,0.127,0.058,0.025,0.028,0.037
57.4,8.404e+03,6.655e+00,6.445e+01,8.475e+03,0.167,0.076,0.032,0.031,0.038
59.0,5.071e+03,3.091e+00,4.308e+01,5.117e+03,0.208,0.091,0.037,0.034,0.039
60.6,3.130e+03,7.198e+00,8.240e+01,3.219e+03,0.247,0.104,0.039,0.037,0.040
62.2,2.242e+03,1.503e+01,5.972e+01,2.317e+03,0.286,0.115,0.040,0.038,0.040
63.7,2.108e+03,1.648e+01,3.607e+01,2.161e+03,0.324,0.123,0.038,0.038,0.039
65.3,2.172e+03,9.869e+00,4.527e+01,2.227e+03,0.360,0.129,0.033,0.037,0.037
66.9,2.286e+03,4.721e+00,4.115e+01,2.332e+03,0.396,0.132,0.030,0.035,0.034
68.5,2.493e+03,3.279e+00,3.575e+01,2.532e+03,0.431,0.133,0.028,0.032,0.031
70.1,2.972e+03,2.733e+00,4.510e+01,3.019e+03,0.464,0.132,0.028,0.028,0.027
71.7,3.401e+03,1.979e+00,8.097e+01,3.484e+03,0.496,0.128,0.031,0.023,0.023
73.3,3.696e+03,1.548e+00,7.158e+01,3.769e+03,0.526,0.122,0.038,0.018,0.018
74.9,3.952e+03,2.002e+00,2.583e+01,3.979e+03,0.555,0.114,0.048,0.013,0.015
76.5,4.276e+03,5.045e+00,2.722e+01,4.308e+03,0.583,0.104,0.064,0.011,0.012
78.1,4.806e+03,9.050e+00,4.893e+01,4.864e+03,0.609,0.096,0.086,0.011,0.012
79.7,5.007e+03,1.092e+01,8.026e+01,5.098e+03,0.633,0.090,0.108,0.012,0.013
81.3,5.128e+03,1.176e+01,1.049e+02,5.245e+03,0.656,0.085,0.132,0.015,0.016
82.9,5.099e+03,1.174e+01,1.224e+02,5.233e+03,0.676,0.082,0.157,0.020,0.019
84.5,4.681e+03,1.026e+01,1.135e+02,4.805e+03,0.696,0.080,0.183,0.024,0.022
86.1,4.129e+03,7.323e+00,7.219e+01,4.208e+03,0.713,0.082,0.210,0.027,0.025
87.6,3.616e+03,4.773e+00,4.442e+01,3.665e+03,0.728,0.086,0.237,0.030,0.027
89.2,3.030e+03,3.920e+00,3.544e+01,3.069e+03,0.742,0.094,0.264,0.031,0.029
90.8,2.503e+03,3.081e+00,3.873e+01,2.545e+03,0.754,0.105,0.291,0.032,0.030
92.4,2.259e+03,2.150e+00,4.144e+01,2.303e+03,0.763,0.117,0.319,0.031,0.030
94.0,2.097e+03,3.839e+00,3.933e+01,2.140e+03,0.771,0.132,0.346,0.029,0.030
95.6,2.143e+03,1.153e+01,2.885e+01,2.183e+03,0.777,0.153,0.372,0.027,0.028
97.2,2.412e+03,1.979e+01,2.007e+01,2.451e+03,0.781,0.181,0.398,0.027,0.027
98.8,2.586e+03,2.595e+01,1.644e+01,2.629e+03,0.784,0.209,0.423,0.027,0.024
100.4,2.696e+03,2.490e+01,1.802e+01,2.738e+03,0.784,0.237,0.447,0.028,0.021
102.0,2.832e+03,1.895e+01,1.510e+01,2.866e+03,0.783,0.266,0.470,0.030,0.018
103.6,2.788e+03,1.979e+01,1.479e+01,2.823e+03,0.779,0.294,0.492,0.034,0.014
105.2,2.663e+03,2.062e+01,1.543e+01,2.699e+03,0.774,0.321,0.512,0.039,0.013
106.8,2.619e+03,2.172e+01,1.628e+01,2.657e+03,0.767,0.349,0.531,0.045,0.012
108.4,2.662e+03,2.271e+01,1.775e+01,2.702e+03,0.758,0.375,0.548,0.056,0.012
110.0,2.558e+03,2.338e+01,1.953e+01,2.601e+03,0.748,0.401,0.563,0.072,0.012
111.6,2.308e+03,2.188e+01,1.863e+01,2.349e+03,0.736,0.426,0.577,0.089,0.013
113.1,2.080e+03,1.820e+01,1.627e+01,2.114e+03,0.722,0.450,0.588,0.107,0.014
114.7,1.994e+03,1.654e+01,1.569e+01,2.027e+03,0.706,0.473,0.597,0.126,0.015
116.3,1.858e+03,1.587e+01,1.529e+01,1.889e+03,0.689,0.495,0.605,0.146,0.019
117.9,1.641e+03,1.576e+01,1.546e+01,1.673e+03,0.671,0.515,0.610,0.167,0.021
119.5,1.419e+03,1.492e+01,1.615e+01,1.450e+03,0.651,0.533,0.613,0.188,0.023
121.1,1.243e+03,1.278e+01,1.624e+01,1.272e+03,0.630,0.551,0.614,0.209,0.025
122.7,1.099e+03,1.062e+01,1.607e+01,1.125e+03,0.608,0.566,0.613,0.230,0.025
124.3,9.929e+02,8.687e+00,1.600e+01,1.018e+03,0.584,0.580,0.610,0.252,0.025
125.9,9.446e+02,7.340e+00,1.561e+01,9.676e+02,0.559,0.592,0.605,0.273,0.023
127.5,9.652e+02,5.802e+00,1.566e+01,9.867e+02,0.533,0.602,0.598,0.294,0.023
129.1,1.003e+03,4.491e+00,1.345e+01,1.021e+03,0.507,0.611,0.589,0.314,0.024
130.7,9.893e+02,3.482e+00,1.015e+01,1.003e+03,0.479,0.617,0.578,0.334,0.025
132.3,8.578e+02,2.921e+00,7.414e+00,8.681e+02,0.451,0.622,0.565,0.353,0.027
133.9,3.310e+02,2.720e+00,3.342e+00,3.370e+02,0.422,0.625,0.550,0.371,0.028
135.5,8.942e+01,2.421e+00,1.856e+00,9.369e+01,0.392,0.626,0.535,0.388,0.031
137.1,8.216e+01,2.329e+00,1.677e+00,8.617e+01,0.372,0.625,0.517,0.404,0.034
138.6,1.490e+02,2.821e+00,4.557e+01,1.974e+02,0.357,0.622,0.498,0.419,0.038
140.2,6.185e+02,7.698e+00,4.536e+02,1.080e+03,0.343,0.617,0.478,0.432,0.042
141.8,4.439e+02,5.746e+00,2.747e+02,7.244e+02,0.329,0.610,0.457,0.444,0.053
143.4,2.098e+02,2.896e+00,9.850e+00,2.226e+02,0.317,0.602,0.436,0.454,0.067
145.0,2.522e+02,3.191e+00,3.448e+00,2.588e+02,0.307,0.592,0.413,0.462,0.081
146.6,3.256e+02,4.421e+00,5.817e+00,3.358e+02,0.298,0.580,0.390,0.469,0.096
148.2,3.992e+02,5.425e+00,1.000e+01,4.147e+02,0.291,0.567,0.366,0.474,0.112
149.8,4.537e+02,6.000e+00,1.059e+01,4.703e+02,0.286,0.552,0.342,0.477,0.128
151.4,4.815e+02,6.345e+00,1.088e+01,4.987e+02,0.283,0.536,0.318,0.479,0.144
153.0,6.484e+02,7.014e+00,1.459e+01,6.700e+02,0.282,0.519,0.293,0.479,0.161
154.6,7.956e+02,8.515e+00,1.387e+01,8.180e+02,0.283,0.500,0.269,0.477,0.178
156.2,8.619e+02,1.181e+01,1.232e+01,8.860e+02,0.286,0.481,0.246,0.473,0.195
157.8,9.546e+02,1.379e+01,1.396e+01,9.823e+02,0.291,0.460,0.223,0.468,0.212
159.4,9.205e+02,1.282e+01,1.615e+01,9.495e+02,0.297,0.439,0.200,0.461,0.229
161.0,8.474e+02,1.057e+01,1.865e+01,8.767e+02,0.305,0.417,0.178,0.452,0.245
162.5,8.712e+02,1.092e+01,1.999e+01,9.021e+02,0.314,0.395,0.162,0.442,0.261
164.1,8.844e+02,1.051e+01,2.061e+01,9.155e+02,0.324,0.372,0.152,0.430,0.276
165.7,8.811e+02,1.044e+01,2.108e+01,9.126e+02,0.334,0.349,0.143,0.418,0.290
167.3,8.451e+02,1.016e+01,2.033e+01,8.756e+02,0.345,0.325,0.135,0.404,0.304
168.9,7.631e+02,8.134e+00,1.870e+01,7.900e+02,0.356,0.302,0.127,0.389,0.316
170.5,7.404e+02,8.421e+00,1.374e+01,7.626e+02,0.373,0.279,0.121,0.373,0.328
172.1,8.010e+02,1.161e+01,1.158e+01,8.242e+02,0.397,0.256,0.115,0.356,0.338
173.7,8.389e+02,1.193e+01,1.098e+01,8.618e+02,0.421,0.234,0.110,0.338,0.347
175.3,8.122e+02,1.167e+01,9.071e+00,8.329e+02,0.444,0.220,0.106,0.320,0.355
176.9,8.075e+02,1.142e+01,7.305e+00,8.263e+02,0.467,0.211,0.102,0.302,0.361
178.5,7.574e+02,1.038e+01,5.383e+00,7.732e+02,0.488,0.202,0.099,0.283,0.366
180.1,6.216e+02,8.665e+00,4.197e+00,6.344e+02,0.508,0.194,0.097,0.264,0.369
181.7,6.276e+02,9.071e+00,3.855e+00,6.405e+02,0.526,0.187,0.096,0.245,0.371
183.3,7.177e+02,9.577e+00,3.996e+00,7.313e+02,0.544,0.180,0.095,0.226,0.372
184.9,8.035e+02,9.679e+00,4.512e+00,8.177e+02,0.560,0.174,0.095,0.207,0.371
186.5,8.627e+02,9.800e+00,4.382e+00,8.768e+02,0.575,0.169,0.095,0.189,0.368
188.0,9.180e+02,9.641e+00,4.185e+00,9.318e+02,0.589,0.165,0.096,0.171,0.365
189.6,9.920e+02,1.022e+01,4.213e+00,1.006e+03,0.601,0.161,0.098,0.154,0.360
191.2,1.026e+03,1.099e+01,4.797e+00,1.042e+03,0.612,0.158,0.100,0.137,0.353
192.8,1.049e+03,1.145e+01,5.995e+00,1.067e+03,0.621,0.156,0.102,0.121,0.345
194.4,1.123e+03,1.301e+01,7.141e+00,1.143e+03,0.629,0.154,0.105,0.107,0.336
196.0,1.096e+03,1.331e+01,8.202e+00,1.118e+03,0.636,0.152,0.109,0.095,0.327
197.6,1.024e+03,1.333e+01,9.234e+00,1.047e+03,0.641,0.151,0.113,0.089,0.316
199.2,9.289e+02,1.306e+01,1.011e+01,9.520e+02,0.644,0.150,0.117,0.084,0.304
